Title,Type,Netflix Excl.,Netflix Release Date,Days In Top 10,Viewer- Ship Score,Measure Date
The Great British Baking Show,TV Show,Yes,,3,11,2020/10/10
Ratched,TV Show,Yes,"Sep 18, 2020",22,184,2020/10/10
Evil,TV Show,,,5,24,2020/10/10
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",2,19,2020/10/11
Hubie Halloween,Movie,Yes,"Oct 7, 2020",4,39,2020/10/11
Emily in Paris,TV Show,Yes,"Oct 2, 2020",9,75,2020/10/11
American Murder: The Family…,Movie,Yes,"Sep 30, 2020",11,102,2020/10/11
Schitt's Creek,TV Show,,,8,54,2020/10/11
American Pie Presents: Girl…,Movie,,,5,26,2020/10/11
The 100,TV Show,,,2,9,2020/10/11
Ratched,TV Show,Yes,"Sep 18, 2020",23,187,2020/10/11
Evil,TV Show,,,6,26,2020/10/11
The Great British Baking Show,TV Show,Yes,,4,12,2020/10/11
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",3,29,2020/10/12
Hubie Halloween,Movie,Yes,"Oct 7, 2020",5,48,2020/10/12
Emily in Paris,TV Show,Yes,"Oct 2, 2020",10,83,2020/10/12
American Pie Presents: Girl…,Movie,,,6,33,2020/10/12
American Murder: The Family…,Movie,Yes,"Sep 30, 2020",12,108,2020/10/12
Schitt's Creek,TV Show,,,9,59,2020/10/12
The 100,TV Show,,,3,13,2020/10/12
Evil,TV Show,,,7,29,2020/10/12
Ratched,TV Show,Yes,"Sep 18, 2020",24,189,2020/10/12
Cocomelon,TV Show,,"Jun 1, 2020",30,64,2020/10/12
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",4,39,2020/10/13
Hubie Halloween,Movie,Yes,"Oct 7, 2020",6,57,2020/10/13
Emily in Paris,TV Show,Yes,"Oct 2, 2020",11,91,2020/10/13
Schitt's Creek,TV Show,,,10,66,2020/10/13
The 100,TV Show,,,4,19,2020/10/13
American Pie Presents: Girl…,Movie,,,7,38,2020/10/13
American Murder: The Family…,Movie,Yes,"Sep 30, 2020",13,112,2020/10/13
Evil,TV Show,,,8,32,2020/10/13
Ratched,TV Show,Yes,"Sep 18, 2020",25,191,2020/10/13
Cocomelon,TV Show,,"Jun 1, 2020",31,65,2020/10/13
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",5,49,2020/10/14
Hubie Halloween,Movie,Yes,"Oct 7, 2020",7,66,2020/10/14
Emily in Paris,TV Show,Yes,"Oct 2, 2020",12,99,2020/10/14
Schitt's Creek,TV Show,,,11,73,2020/10/14
The 100,TV Show,,,5,25,2020/10/14
Evil,TV Show,,,9,37,2020/10/14
American Murder: The Family…,Movie,Yes,"Sep 30, 2020",14,116,2020/10/14
Cocomelon,TV Show,,"Jun 1, 2020",32,68,2020/10/14
American Pie Presents: Girl…,Movie,,,8,40,2020/10/14
Ratched,TV Show,Yes,"Sep 18, 2020",26,192,2020/10/14
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",6,59,2020/10/15
Hubie Halloween,Movie,Yes,"Oct 7, 2020",8,75,2020/10/15
Emily in Paris,TV Show,Yes,"Oct 2, 2020",13,107,2020/10/15
Schitt's Creek,TV Show,,,12,80,2020/10/15
The 100,TV Show,,,6,31,2020/10/15
The Cabin with Bert Kreischer,TV Show,Yes,"Oct 13, 2020",1,5,2020/10/15
Evil,TV Show,,,10,41,2020/10/15
Moneyball,Movie,,"Oct 14, 2020",1,3,2020/10/15
Cocomelon,TV Show,,"Jun 1, 2020",33,70,2020/10/15
American Murder: The Family…,Movie,Yes,"Sep 30, 2020",15,117,2020/10/15
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",7,69,2020/10/16
Hubie Halloween,Movie,Yes,"Oct 7, 2020",9,84,2020/10/16
Emily in Paris,TV Show,Yes,"Oct 2, 2020",14,115,2020/10/16
Moneyball,Movie,,"Oct 14, 2020",2,10,2020/10/16
Schitt's Creek,TV Show,,,13,86,2020/10/16
The 100,TV Show,,,7,36,2020/10/16
The Cabin with Bert Kreischer,TV Show,Yes,"Oct 13, 2020",2,9,2020/10/16
Evil,TV Show,,,11,44,2020/10/16
One on One,TV Show,,"Oct 15, 2020",1,2,2020/10/16
Cocomelon,TV Show,,"Jun 1, 2020",34,71,2020/10/16
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",8,79,2020/10/17
Hubie Halloween,Movie,Yes,"Oct 7, 2020",10,93,2020/10/17
Moneyball,Movie,,"Oct 14, 2020",3,18,2020/10/17
The Trial of the Chicago 7,Movie,Yes,"Oct 16, 2020",1,7,2020/10/17
Emily in Paris,TV Show,Yes,"Oct 2, 2020",15,121,2020/10/17
A Babysitterâs Guide to Mon…,Movie,Yes,"Oct 15, 2020",1,5,2020/10/17
The Great British Baking Show,TV Show,Yes,,5,16,2020/10/17
Schitt's Creek,TV Show,,,14,89,2020/10/17
The Cabin with Bert Kreischer,TV Show,Yes,"Oct 13, 2020",3,11,2020/10/17
Evil,TV Show,,,12,45,2020/10/17
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",9,89,2020/10/18
Hubie Halloween,Movie,Yes,"Oct 7, 2020",11,102,2020/10/18
The Trial of the Chicago 7,Movie,Yes,"Oct 16, 2020",2,15,2020/10/18
Moneyball,Movie,,"Oct 14, 2020",4,25,2020/10/18
Emily in Paris,TV Show,Yes,"Oct 2, 2020",16,127,2020/10/18
A Babysitterâs Guide to Mon…,Movie,Yes,"Oct 15, 2020",2,10,2020/10/18
Schitt's Creek,TV Show,,,15,93,2020/10/18
Evil,TV Show,,,13,48,2020/10/18
Cocomelon,TV Show,,"Jun 1, 2020",35,73,2020/10/18
The Great British Baking Show,TV Show,Yes,,6,17,2020/10/18
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",10,99,2020/10/19
Hubie Halloween,Movie,Yes,"Oct 7, 2020",12,111,2020/10/19
The Trial of the Chicago 7,Movie,Yes,"Oct 16, 2020",3,23,2020/10/19
Emily in Paris,TV Show,Yes,"Oct 2, 2020",17,134,2020/10/19
Moneyball,Movie,,"Oct 14, 2020",5,31,2020/10/19
A Babysitterâs Guide to Mon…,Movie,Yes,"Oct 15, 2020",3,15,2020/10/19
Schitt's Creek,TV Show,,,16,97,2020/10/19
Evil,TV Show,,,14,51,2020/10/19
Dream Home Makeover,TV Show,Yes,,1,2,2020/10/19
Cocomelon,TV Show,,"Jun 1, 2020",36,74,2020/10/19
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",11,109,2020/10/20
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",23,167,2020/10/20
Hubie Halloween,Movie,Yes,"Oct 7, 2020",13,119,2020/10/20
Emily in Paris,TV Show,Yes,"Oct 2, 2020",18,141,2020/10/20
The Trial of the Chicago 7,Movie,Yes,"Oct 16, 2020",4,29,2020/10/20
Schitt's Creek,TV Show,,,17,102,2020/10/20
Moneyball,Movie,,"Oct 14, 2020",6,35,2020/10/20
Cocomelon,TV Show,,"Jun 1, 2020",37,77,2020/10/20
Evil,TV Show,,,15,53,2020/10/20
Dream Home Makeover,TV Show,Yes,,2,3,2020/10/20
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",24,177,2020/10/21
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",12,118,2020/10/21
Emily in Paris,TV Show,Yes,"Oct 2, 2020",19,149,2020/10/21
Hubie Halloween,Movie,Yes,"Oct 7, 2020",14,126,2020/10/21
Schitt's Creek,TV Show,,,18,108,2020/10/21
Cocomelon,TV Show,,"Jun 1, 2020",38,82,2020/10/21
Evil,TV Show,,,16,57,2020/10/21
The Trial of the Chicago 7,Movie,Yes,"Oct 16, 2020",5,32,2020/10/21
Tremors: Island Fury,Movie,,,1,2,2020/10/21
Grand Army,TV Show,Yes,"Oct 16, 2020",1,1,2020/10/21
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",25,187,2020/10/22
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",13,127,2020/10/22
Rebecca,Movie,Yes,"Oct 21, 2020",1,8,2020/10/22
My Next Guest Needs No Intr…,TV Show,Yes,"Oct 21, 2020",1,7,2020/10/22
Emily in Paris,TV Show,Yes,"Oct 2, 2020",20,155,2020/10/22
Tremors: Island Fury,Movie,,,2,7,2020/10/22
Hubie Halloween,Movie,Yes,"Oct 7, 2020",15,130,2020/10/22
Grand Army,TV Show,Yes,"Oct 16, 2020",2,4,2020/10/22
Schitt's Creek,TV Show,,,19,110,2020/10/22
Cocomelon,TV Show,,"Jun 1, 2020",39,83,2020/10/22
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",26,197,2020/10/23
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",14,136,2020/10/23
Rebecca,Movie,Yes,"Oct 21, 2020",2,16,2020/10/23
My Next Guest Needs No Intr…,TV Show,Yes,"Oct 21, 2020",2,14,2020/10/23
Grand Army,TV Show,Yes,"Oct 16, 2020",3,10,2020/10/23
"Yes, God, Yes",Movie,,"Oct 22, 2020",1,5,2020/10/23
Tremors: Island Fury,Movie,,,3,11,2020/10/23
Cocomelon,TV Show,,"Jun 1, 2020",40,86,2020/10/23
Emily in Paris,TV Show,Yes,"Oct 2, 2020",21,157,2020/10/23
Schitt's Creek,TV Show,,,20,111,2020/10/23
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",27,207,2020/10/24
My Next Guest Needs No Intr…,TV Show,Yes,"Oct 21, 2020",3,23,2020/10/24
Over the Moon,Movie,Yes,"Oct 23, 2020",1,8,2020/10/24
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",15,143,2020/10/24
Rebecca,Movie,Yes,"Oct 21, 2020",3,22,2020/10/24
Barbarians,TV Show,Yes,"Oct 23, 2020",1,5,2020/10/24
"Yes, God, Yes",Movie,,"Oct 22, 2020",2,9,2020/10/24
The Great British Baking Show,TV Show,Yes,,7,20,2020/10/24
Grand Army,TV Show,Yes,"Oct 16, 2020",4,12,2020/10/24
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",1,1,2020/10/24
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",2,11,2020/10/25
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",28,216,2020/10/25
Over the Moon,Movie,Yes,"Oct 23, 2020",2,16,2020/10/25
My Next Guest Needs No Intr…,TV Show,Yes,"Oct 21, 2020",4,30,2020/10/25
Barbarians,TV Show,Yes,"Oct 23, 2020",2,11,2020/10/25
Rebecca,Movie,Yes,"Oct 21, 2020",4,27,2020/10/25
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",16,147,2020/10/25
Grand Army,TV Show,Yes,"Oct 16, 2020",5,15,2020/10/25
Hubie Halloween,Movie,Yes,"Oct 7, 2020",16,132,2020/10/25
"Yes, God, Yes",Movie,,"Oct 22, 2020",3,10,2020/10/25
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",3,21,2020/10/26
Over the Moon,Movie,Yes,"Oct 23, 2020",3,25,2020/10/26
Barbarians,TV Show,Yes,"Oct 23, 2020",3,19,2020/10/26
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",29,223,2020/10/26
My Next Guest Needs No Intr…,TV Show,Yes,"Oct 21, 2020",5,36,2020/10/26
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",17,152,2020/10/26
Rebecca,Movie,Yes,"Oct 21, 2020",5,31,2020/10/26
Grand Army,TV Show,Yes,"Oct 16, 2020",6,18,2020/10/26
Hubie Halloween,Movie,Yes,"Oct 7, 2020",17,134,2020/10/26
"Yes, God, Yes",Movie,,"Oct 22, 2020",4,11,2020/10/26
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",4,31,2020/10/27
Barbarians,TV Show,Yes,"Oct 23, 2020",4,28,2020/10/27
Over the Moon,Movie,Yes,"Oct 23, 2020",4,33,2020/10/27
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",30,230,2020/10/27
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",18,158,2020/10/27
My Next Guest Needs No Intr…,TV Show,Yes,"Oct 21, 2020",6,41,2020/10/27
Grand Army,TV Show,Yes,"Oct 16, 2020",7,22,2020/10/27
Cocomelon,TV Show,,"Jun 1, 2020",41,89,2020/10/27
Rebecca,Movie,Yes,"Oct 21, 2020",6,33,2020/10/27
Schitt's Creek,TV Show,,,21,112,2020/10/27
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",5,41,2020/10/28
Barbarians,TV Show,Yes,"Oct 23, 2020",5,37,2020/10/28
Over the Moon,Movie,Yes,"Oct 23, 2020",5,41,2020/10/28
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",31,237,2020/10/28
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",19,164,2020/10/28
My Next Guest Needs No Intr…,TV Show,Yes,"Oct 21, 2020",7,46,2020/10/28
Grand Army,TV Show,Yes,"Oct 16, 2020",8,26,2020/10/28
Cocomelon,TV Show,,"Jun 1, 2020",42,92,2020/10/28
Rebecca,Movie,Yes,"Oct 21, 2020",7,35,2020/10/28
Schitt's Creek,TV Show,,,22,113,2020/10/28
Holidate,Movie,Yes,"Oct 28, 2020",1,10,2020/10/29
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",6,50,2020/10/29
Blood of Zeus,TV Show,Yes,"Oct 27, 2020",1,8,2020/10/29
Barbarians,TV Show,Yes,"Oct 23, 2020",6,44,2020/10/29
Over the Moon,Movie,Yes,"Oct 23, 2020",6,47,2020/10/29
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",20,169,2020/10/29
Grand Army,TV Show,Yes,"Oct 16, 2020",9,30,2020/10/29
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",32,240,2020/10/29
Cocomelon,TV Show,,"Jun 1, 2020",43,94,2020/10/29
My Next Guest Needs No Intr…,TV Show,Yes,"Oct 21, 2020",8,47,2020/10/29
Holidate,Movie,Yes,"Oct 28, 2020",2,20,2020/10/30
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",7,59,2020/10/30
Blood of Zeus,TV Show,Yes,"Oct 27, 2020",2,16,2020/10/30
Barbarians,TV Show,Yes,"Oct 23, 2020",7,51,2020/10/30
Over the Moon,Movie,Yes,"Oct 23, 2020",7,53,2020/10/30
Secrets of the Saqqara Tomb,Movie,Yes,"Oct 28, 2020",1,5,2020/10/30
Grand Army,TV Show,Yes,"Oct 16, 2020",10,34,2020/10/30
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",21,172,2020/10/30
Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",33,242,2020/10/30
Cocomelon,TV Show,,"Jun 1, 2020",44,95,2020/10/30
Holidate,Movie,Yes,"Oct 28, 2020",3,30,2020/10/31
The Queen's Gambit,TV Show,Yes,"Oct 23, 2020",8,68,2020/10/31
The Great British Baking Show,TV Show,Yes,,8,28,2020/10/31
Over the Moon,Movie,Yes,"Oct 23, 2020",8,60,2020/10/31
Blood of Zeus,TV Show,Yes,"Oct 27, 2020",3,22,2020/10/31
Secrets of the Saqqara Tomb,Movie,Yes,"Oct 28, 2020",2,10,2020/10/31
Barbarians,TV Show,Yes,"Oct 23, 2020",8,55,2020/10/31
Rogue City,Movie,Yes,"Oct 30, 2020",1,3,2020/10/31
The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",22,174,2020/10/31
His House,Movie,Yes,"Oct 30, 2020",1,1,2020/10/31
