Title,IMDb rating
In the Mood for Love,8.0
Portrait de la jeune fille en feu,8.0
"Paris, Texas",8.0
New York - Miami,8.0
L'accusé,8.0
Drishyam,8.0
La couleur des sentiments,8.0
Princess Bride,8.0
La bataille d'Alger,8.0
Mandarines,8.0
Terminator,8.0
7. Kogustaki Mucize,8.0
